Categorie;Element;icon;url
Region PACA;;TV/photos/Financeurs/Region PACA/logo.jpg;http://www.regionpaca.fr/
Region PACA;photo 01;TV/photos/Financeurs/Region PACA/DSC_0453.JPG;
Region PACA;photo 02;TV/photos/Financeurs/Region PACA/DSC_0383.JPG;
Region PACA;photo 03;TV/photos/Financeurs/Region PACA/DSC_0382.JPG;
Region PACA;photo 04;TV/photos/Financeurs/Region PACA/DSC_0380.JPG;
Region PACA;photo 05;TV/photos/Financeurs/Region PACA/DSC_0374.JPG;
Region PACA;photo 06;TV/photos/Financeurs/Region PACA/DSC_0373.JPG;
Region PACA;photo 07;TV/photos/Financeurs/Region PACA/DSC_0232.JPG;
Region PACA;photo 08;TV/photos/Financeurs/Region PACA/DSC_0229.JPG;
Region PACA;photo 09;TV/photos/Financeurs/Region PACA/DSC_0213.JPG;
Region PACA;photo 10;TV/photos/Financeurs/Region PACA/DSC_0112.JPG;
Region PACA;photo 11;TV/photos/Financeurs/Region PACA/DSC_0041.JPG;
Pepite PACA Est;;TV/photos/Financeurs/Pepite PACA Est/logo.png;http://unice.fr/pepite-creatude
Pepite PACA Est;photo 1;TV/photos/Financeurs/Pepite PACA Est/FINALE CJP2016 - Equipe gagnante du concours Tourism Box.jpg;
Pepite PACA Est;photo 2;TV/photos/Financeurs/Pepite PACA Est/Finale CJP - Equipe gagnante WEVER.jpg;
Pepite PACA Est;photo 3;TV/photos/Financeurs/Pepite PACA Est/DSC_0144.JPG;
Pepite PACA Est;photo 4;TV/photos/Financeurs/Pepite PACA Est/DSC_0135.JPG;
Pepite PACA Est;photo 5;TV/photos/Financeurs/Pepite PACA Est/DSC_0132.JPG;
Pepite PACA Est;photo 6;TV/photos/Financeurs/Pepite PACA Est/DSC_0094.JPG;
Pepite PACA Est;photo 7;TV/photos/Financeurs/Pepite PACA Est/DSC_0082.JPG;
Pepite PACA Est;photo 8;TV/photos/Financeurs/Pepite PACA Est/DSC_0010.JPG;
Métropole Nice Côte d'Azur;;TV/photos/Financeurs/Metropole Nice Cote dAzur/logo.png;http://www.nicecotedazur.org/
Métropole Nice Côte d'Azur;photo 01;TV/photos/Financeurs/Metropole Nice Cote dAzur/nini.JPG;
Métropole Nice Côte d'Azur;photo 02;TV/photos/Financeurs/Metropole Nice Cote dAzur/DSC_0309.JPG;
Métropole Nice Côte d'Azur;photo 03;TV/photos/Financeurs/Metropole Nice Cote dAzur/DSC_0216.JPG;
Métropole Nice Côte d'Azur;photo 04;TV/photos/Financeurs/Metropole Nice Cote dAzur/DSC_0208.JPG;
Métropole Nice Côte d'Azur;photo 05;TV/photos/Financeurs/Metropole Nice Cote dAzur/DSC_0193.JPG;
Métropole Nice Côte d'Azur;photo 06;TV/photos/Financeurs/Metropole Nice Cote dAzur/DSC_0136.JPG;
Métropole Nice Côte d'Azur;photo 07;TV/photos/Financeurs/Metropole Nice Cote dAzur/DSC_0099.JPG;
Métropole Nice Côte d'Azur;photo 08;TV/photos/Financeurs/Metropole Nice Cote dAzur/DSC_0064.JPG;
Métropole Nice Côte d'Azur;photo 09;TV/photos/Financeurs/Metropole Nice Cote dAzur/DSC_0035.JPG;
Métropole Nice Côte d'Azur;photo 10;TV/photos/Financeurs/Metropole Nice Cote dAzur/CJP Demi-Finale - Equipes et Jury.jpg;
Département des Alpes Maritimes;;TV/photos/Financeurs/Departement des Alpes Maritimes/logo.png;https://www.departement06.fr/
Département des Alpes Maritimes;photo 1;TV/photos/Financeurs/Departement des Alpes Maritimes/DSC_0139.JPG;
Département des Alpes Maritimes;photo 2;TV/photos/Financeurs/Departement des Alpes Maritimes/DSC_0050.JPG;
Département des Alpes Maritimes;photo 3;TV/photos/Financeurs/Departement des Alpes Maritimes/DSC_0027.JPG;
Département des Alpes Maritimes;photo 4;TV/photos/Financeurs/Departement des Alpes Maritimes/DSC_0021.JPG;
CASA;;TV/photos/Financeurs/CASA/logo.jpg;http://www.casa-infos.fr/
CASA;photo 1;TV/photos/Financeurs/CASA/Village des sciences-047.jpg;
CASA;photo 2;TV/photos/Financeurs/CASA/Village des sciences-046.jpg;
CASA;photo 3;TV/photos/Financeurs/CASA/Village des sciences-044.jpg;
CASA;photo 4;TV/photos/Financeurs/CASA/DSC_0115.JPG;
CASA;photo 5;TV/photos/Financeurs/CASA/DSC_0113.JPG;
CASA;photo 6;TV/photos/Financeurs/CASA/DSC_0010.JPG;
CASA;photo 7;TV/photos/Financeurs/CASA/DSC_0001.JPG;
