Prenom;Nom;Dates;Entreprise;icon
Michel;LAFON;1991-1994;France Telecom;TV/Presidents/Michel LAFON.png
Bruno;PEUCH;1994-1995;AT&T Paradyne;
Jean-Paul;MICHEL;1995-1996;IBM;
Christian;TORDO;1997-1998;Texas Instruments;TV/Presidents/Christian TORDO.png
Jacques;GROS;1999-2000;IBM;TV/Presidents/Jacques GROS.png
Bruno;DELEPINE;2001-2002;Philips;TV/Presidents/Bruno DELEPINE.png
Jean-Marc;DJIAN;2003-2004;Atos Origin;TV/Presidents/Jean-Marc DIJIAN.png
Laurent;LONDEIX;2005-2006;Orange;TV/Presidents/Laurent LONDEIX.png
Jean-Pierre;HENRY;2006-2007;Thales Alenia Space;TV/Presidents/Jean Pierre HENRY.png
Michel;CASTELLANET;2007-2008;TAS;TV/Presidents/Michel CASTELLANET.png
Antoine;PERRY;2009-2011;SeaSatCom;TV/Presidents/Antoine PERRY.png
Hugues;DAILLIEZ;2011-2013;ST-Ericsson;TV/Presidents/Hugues DAILLIEZ.png
Jean-Bernard;TITZ;2013-2015;Dev Help;TV/Presidents/Jean Bernard TITZ.png
Pascal;FLAMAND;2015-2017;Janua;TV/Presidents/Pascal FLAMAND.png
